run_accession	sample_accession	fastq_ftp	fastq_bytes	library_name
SRR31465416	SAMN45004438	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/016/SRR31465416/SRR31465416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/016/SRR31465416/SRR31465416_2.fastq.gz	23972377;28123343	67_S67_L001
SRR31465421	SAMN45004433	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/021/SRR31465421/SRR31465421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/021/SRR31465421/SRR31465421_2.fastq.gz	21116857;24663686	62_S62_L001
SRR31465424	SAMN45004431	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/024/SRR31465424/SRR31465424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/024/SRR31465424/SRR31465424_2.fastq.gz	28514427;34212404	60_S60_L001
SRR31465426	SAMN45004429	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/026/SRR31465426/SRR31465426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/026/SRR31465426/SRR31465426_2.fastq.gz	15133478;17854479	58_S58_L001
SRR31465430	SAMN45004425	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/030/SRR31465430/SRR31465430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/030/SRR31465430/SRR31465430_2.fastq.gz	25605512;31098501	54_S54_L001
SRR31465431	SAMN45004424	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/031/SRR31465431/SRR31465431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/031/SRR31465431/SRR31465431_2.fastq.gz	22766385;26411766	53_S53_L001
SRR31465433	SAMN45004422	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/033/SRR31465433/SRR31465433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/033/SRR31465433/SRR31465433_2.fastq.gz	24289102;28770263	51_S51_L001
SRR31465435	SAMN45004421	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/035/SRR31465435/SRR31465435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/035/SRR31465435/SRR31465435_2.fastq.gz	17376927;20193547	50_S50_L001
SRR31465438	SAMN45004418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/038/SRR31465438/SRR31465438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/038/SRR31465438/SRR31465438_2.fastq.gz	23613324;27001720	47_S47_L001
SRR31465440	SAMN45004416	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/040/SRR31465440/SRR31465440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/040/SRR31465440/SRR31465440_2.fastq.gz	21299587;25647762	45_S45_L001
SRR31465444	SAMN45004412	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/044/SRR31465444/SRR31465444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/044/SRR31465444/SRR31465444_2.fastq.gz	21594479;23285001	41_S41_L001
SRR31465445	SAMN45004376	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/045/SRR31465445/SRR31465445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/045/SRR31465445/SRR31465445_2.fastq.gz	27292348;30276636	5_S5_L001
SRR31465448	SAMN45004409	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/048/SRR31465448/SRR31465448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/048/SRR31465448/SRR31465448_2.fastq.gz	18452879;21762607	38_S38_L001
