Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
AIM2	327.958	4538.99	1429.67	294.485	57.0808	250.3	3311.98	1115.68	315.646	407.593	87.2274	134.496	536.112	181.957	2965.89	148.285	176.962	907.04	93.4714	62.1255	117.508	794.215
ALOX15	12.2336	13.7532	9.07351	9.77497	18.5566	12.0097	5.23954	13.1523	22.3814	14.4528	30.1769	9.77632	9.80086	6.62123	5.41222	430.335	2907.33	30.3423	11.1395	10.6549	355.252	30.0685
ALOX5	1799.68	2425.68	190.331	78.6844	74.9309	132.01	59.0874	35.0009	143.013	441.556	157.037	121.998	1979.3	788.54	83.3009	248.372	118.483	73.106	641.14	590.926	1460.76	2917.27
AMPD1	263.745	217.762	3012.77	66.1075	68.6619	85.3184	68.4614	53.9551	79.2642	114.05	59.1404	60.6769	98.2326	76.5446	62.3976	59.9527	89.211	60.6435	56.2086	75.4411	118.498	173.777
ANGPT4	23.1222	21.3126	230.681	44.6847	22.0601	44.4751	99.594	101.446	29.4651	29.2586	9.38076	26.1766	16.9187	39.3326	21.2181	11.8097	17.8943	12.0187	33.4114	31.3296	14.8123	34.7187
ANKRD55	284.413	218.916	117.2	141.698	1853.34	436.42	79.775	1077.33	123.881	176.244	83.3853	88.4596	126.108	123.6	96.2039	48.5542	108.027	133.56	153.229	104.301	1068.3	415.243
APOBEC3A	102.429	89.6007	99.594	64.3553	107.236	52.7372	57.7823	71.3779	36.3901	723.144	253.307	132.219	2415.2	85.2401	4501.14	148.799	107.914	2637.28	71.9208	33.3549	1137.48	5584.33
APOBEC3G	1283.45	1135.29	2034.56	2090.85	336.646	2340.67	1540.77	386.054	979.72	5415.05	6314.77	8895.3	865.741	278.768	1036.99	258.3	203.448	1393.36	627.131	327.194	306.306	464.441
APOL3	222.628	530.398	754.868	1209.12	950.79	1615.03	1119.49	351.129	993.462	1173.27	1172.69	1002.84	1000.83	238.598	11009.3	437.527	219.6	861.459	264.676	98.2161	107.805	106.425
APOL6	17.3118	11.6065	7.83161	8.44897	11.9623	8.43938	57.5172	7.17759	13.3676	9.71819	12.8553	370.397	11.8207	13.1094	967.645	7.78461	9.13554	159.535	23.1299	8.19543	5.95213	19.0712
AQP9	21.3428	15.1146	15.6643	13.6755	14.1921	14.8941	13.116	18.6667	64.2641	188.873	93.4693	12.5778	2044.03	4583.5	4309.34	399.475	1132.65	1454.9	576.553	1876.27	128.82	13705.7
ARHGAP22	34.6356	48.3129	23.8335	45.0141	71.8606	22.6312	15.4527	25.4097	32.5678	12.4946	82.4275	27.3986	54.808	175.457	351.592	272.989	319.774	2985.73	46.7478	52.5455	81.6401	20.4104
