name	ID	mz	rt	ppm	formula	KEGG	Rosacea_Mean	Rosacea_Median	Rosacea_RSD	control_Mean	control_Median	control_RSD	FC	log2FC	P.value	-log10(P.value)	FDR	VIP	posneg	Class
Malonate	M103T109	102.9562	109.1	5.11656633596165	C3H4O4	C00383	14801777.13	13682095.34	20.85	12329859.4	12384448.47	11.52	1.2	0.26	0.00585017955452098	2.23	0.0268183488856735	1.26017177516161	neg	NA
Glutathione	M288T367	288.0592	366.9	21.5576038789594	C10H17N3O6S	C00051	1227577.45	1230278.6	18.38	1475314.54	1435245.22	17.19	0.83	-0.27	0.00554156425019489	2.26	0.0256686552735486	1.25875943281308	neg	Alkylthiols
D-Xylitol	M133T102	133.0505	102.3	2.93121784593147	C5H12O5	C00379	1506916.83	1454213.52	67.62	3896367.62	3499220.08	70.25	0.39	-1.37	0.00956923049152868	2.02	0.0386828893203008	1.25716114587049	neg	Carbohydrates and carbohydrate conjugates
3-Methylxanthine	M165T319	165.0414	318.8	2.20743372875037	C6H6N4O2	C16357	845411.7	426083.59	124.89	218851.83	71668.25	197.44	3.86	1.95	0.00619477805319018	2.21	0.0279183578478233	1.25186580172676	neg	Purines and purine derivatives
Urocanic acid	M139T144	139.0499	144.1	1.98489894624367	C6H6N2O2	C00785	2206349.18	1812129.62	46.23	4181139.53	2933897.87	54.26	0.53	-0.92	0.000789739659857966	3.1	0.00311986652626889	1.23606622359329	pos	Imidazoles
Acetylcholine 	M146T99	146.1171	98.8	3.42191297265411	C7H16NO2	C01996	975101344.37	115225747.7	118.68	60748365.55	57294741.98	23.79	16.05	4	0.000358358214938145	3.45	0.00167537766640609	1.23366163263344	pos	Quaternary ammonium salts
Lanosterin	M427T472	427.2631	472.1	0.754181580369416	C30H50O	C01724	943279.96	983798.89	76.81	10538290.45	10689492.41	65.76	0.09	-3.48	0.000964972853376598	3.02	0.00364648884089925	1.22877246822819	pos	Triterpenoids
D-synephrine	M168T341	168.0908	340.9	0.10982394641315	C9H13NO2	C01869	8311750.68	8040407.01	25.09	10844053	10529271.57	19.86	0.77	-0.38	0.00150105663683932	2.82	0.00523383358295772	1.22473258163249	pos	Phenols
(5-L-Glutamyl)-L-glutamate	M277T143	277.1021	142.6	3.52216746094708	C10H16N2O7	C05282	1018438.84	899627.9	51.67	1512782.83	1444833.41	21.4	0.67	-0.57	0.000624401901325407	3.2	0.00259516013801791	1.22365312811637	pos	Amino acids, peptides, and analogues
3-Dehydroshikimate	M173T64	172.9773	63.7	0.0293571758480698	C7H8O5	C02637	8117422.61	7174946.42	60.25	15970738.36	18341734.98	37.79	0.51	-0.98	0.00153897192620851	2.81	0.00534479876438394	1.21758554337836	pos	NA
2,5-Dioxopentanoate	M130T76_2	130.0163	75.6	3.96246891341774	C5H6O4	C00433	175871112.09	178060196.85	9.73	193990716.63	193475961.2	5.77	0.91	-0.14	0.00167507037567143	2.78	0.00572188977007349	1.21098437197763	pos	Short-chain keto acids and derivatives
L-4-Hydroxyphenylglycine	M167T76	167.0115	75.8	8.2497381137363	C8H9NO3	C12323	502359530.13	444534751.6	47.52	701995181.36	701933834.85	9.52	0.72	-0.48	0.000585139940865261	3.23	0.00246045272633126	1.20791919113553	pos	NA
Creatine	M132T98	132.0764	97.9	2.10313944807365	C4H9N3O2	C00300	50616322857.49	1562206772	136.09	515523357.86	547880804.4	31.79	98.18	6.62	0.000505868516293055	3.3	0.00219367022350792	1.20692776129706	pos	Amino acids, peptides, and analogues
